suburb,city,latitude,longitude
Parow Valley,Cape Town,-33.9000,18.5667
Parklands,Cape Town,-33.8333,18.4833
Parklands North,Cape Town,-33.8167,18.4833
Parklands East,Cape Town,-33.8167,18.4833
Pinelands,Cape Town,-33.9333,18.5167
Plumstead,Cape Town,-34.0000,18.4833
Plattekloof,Cape Town,-33.8667,18.5833
Plattekloof Glen,Cape Town,-33.8667,18.5833
Retreat,Cape Town,-34.0500,18.4833
Rondebosch,Cape Town,-33.9667,18.4833
Rondebosch East,Cape Town,-33.9667,18.5000
Rosebank,Cape Town,-33.9583,18.4733
Salt River,Cape Town,-33.9333,18.4667
Sanddrift,Cape Town,-33.8667,18.5167
Sea Point,Cape Town,-33.9200,18.3883
Simon's Town,Cape Town,-34.1833,18.4333
Simons Town,Cape Town,-34.1833,18.4333
Somerset West,Cape Town,-34.0833,18.8500
Somerset West Central,Cape Town,-34.0833,18.8500
Somerset Ridge,Cape Town,-34.0667,18.8333
Somerset Country Estate,Cape Town,-34.0667,18.8333
Southfield,Cape Town,-34.0167,18.4833
Stellenbosch,Cape Town,-33.9333,18.8667
Steenberg,Cape Town,-34.0667,18.4833
Strand,Cape Town,-34.1167,18.8333
Strand North,Cape Town,-34.1000,18.8333
Strand South,Cape Town,-34.1333,18.8333
Strand Central,Cape Town,-34.1167,18.8333
Strandfontein,Cape Town,-34.0833,18.5500
Sunningdale,Cape Town,-33.8167,18.5000
Surrey Estate,Cape Town,-33.9667,18.5333
Table View,Cape Town,-33.8333,18.4833
Tamboerskloof,Cape Town,-33.9267,18.4133
Thornton,Cape Town,-33.9167,18.5500
Three Anchor Bay,Cape Town,-33.9133,18.4017
Tokai,Cape Town,-34.0500,18.4500
Tygerdal,Cape Town,-33.8833,18.6333
Tygervalley,Cape Town,-33.8667,18.6333
Tyger Valley,Cape Town,-33.8667,18.6333
Tyger Waterfront,Cape Town,-33.8833,18.6333
Vredehoek,Cape Town,-33.9333,18.4333
Walmer Estate,Cape Town,-33.9500,18.4667
Waterfront,Cape Town,-33.9050,18.4183
Wetton,Cape Town,-34.0000,18.5000
Woodstock,Cape Town,-33.9333,18.4500
Wynberg,Cape Town,-34.0000,18.4667
Wynberg Upper,Cape Town,-34.0000,18.4667
Zonnebloem,Cape Town,-33.9333,18.4333
Maitland,Cape Town,-33.9333,18.5000
Kalk Bay,Cape Town,-34.1167,18.4500
Melkbosstrand,Cape Town,-33.7333,18.4333
Big Bay,Cape Town,-33.8000,18.4667
Blouberg,Cape Town,-33.8167,18.4833
Bloubergrant,Cape Town,-33.8333,18.4833
Blouberg Sands,Cape Town,-33.8167,18.4833
Blouberg Rise,Cape Town,-33.8167,18.4833
West Beach,Cape Town,-33.8167,18.4833
Sunset Beach,Cape Town,-33.8167,18.4833
Woodbridge Island,Cape Town,-33.8667,18.4917
Lagoon Beach,Cape Town,-33.8667,18.4917
Llandudno,Cape Town,-34.0000,18.3500
Scarborough,Cape Town,-34.1833,18.3667
Bakoven,Cape Town,-33.9500,18.3667
Higgovale,Cape Town,-33.9333,18.4083
Devils Peak Estate,Cape Town,-33.9333,18.4333
Oranjezicht,Cape Town,-33.9333,18.4167
Vredekloof,Cape Town,-33.8500,18.6333
Vredekloof East,Cape Town,-33.8500,18.6500
Richwood,Cape Town,-33.8500,18.6167
Oakdale,Cape Town,-33.8500,18.6333
Royal Ascot,Cape Town,-33.8500,18.5167
Burgundy Estate,Cape Town,-33.8500,18.5333
Rivergate,Cape Town,-33.8333,18.5167
Summer Greens,Cape Town,-33.8667,18.5333
Tijgerhof,Cape Town,-33.8833,18.6167
Oude Westhof,Cape Town,-33.8667,18.6333
Kenridge,Cape Town,-33.8500,18.6333
Kenridge Heights,Cape Town,-33.8500,18.6333
Welgedacht,Cape Town,-33.8667,18.6500
Welgelegen,Cape Town,-33.8500,18.6333
De Velde,Cape Town,-33.8667,18.6833
Aurora,Cape Town,-33.8833,18.6333
Blomtuin,Cape Town,-33.8833,18.5833
Bothasig,Cape Town,-33.8833,18.5667
Monte Vista,Cape Town,-33.9000,18.5667
Uitzicht,Cape Town,-33.8500,18.6333
Vierlanden,Cape Town,-33.8167,18.6333
Avondale,Cape Town,-33.8667,18.6167
Die Wingerd,Cape Town,-33.8333,18.6500
La Sandra,Cape Town,-33.8333,18.6333
Graanendal,Cape Town,-33.8333,18.7000
Sonstraal Heights,Cape Town,-33.8333,18.6667
Eversdal Heights,Cape Town,-33.8333,18.6500
Northpine,Cape Town,-33.8667,18.7000
Atlantic Beach,Cape Town,-33.7833,18.4500
Atlantic Beach Golf Estate,Cape Town,-33.7833,18.4500
Atlantic Hills,Cape Town,-33.8000,18.5000
Van Riebeeckstrand,Cape Town,-33.6833,18.4667
Heathfield,Cape Town,-34.0167,18.4833
Southfield,Cape Town,-34.0167,18.4833
Pelikan Park,Cape Town,-34.0500,18.5167
Lavender Hill,Cape Town,-34.0500,18.5000
Grassy Park,Cape Town,-34.0333,18.5000
Lotus River,Cape Town,-34.0167,18.5167
Zeekoevlei,Cape Town,-34.0667,18.5167
Ottery,Cape Town,-34.0167,18.5167
Steenberg Golf Estate,Cape Town,-34.0667,18.4667
Greenways Golf Estate,Cape Town,-34.0667,18.4667
Tokai,Cape Town,-34.0500,18.4500
Zwaanswyk,Cape Town,-34.0333,18.4500
Lakeside,Cape Town,-34.0833,18.4667
Bergvliet,Cape Town,-34.0500,18.4667
Meadowridge,Cape Town,-34.0333,18.4667
Diep River,Cape Town,-34.0167,18.4833
Belmont Park,Cape Town,-34.0000,18.5167
Wetton,Cape Town,-34.0000,18.5000
Wynberg,Cape Town,-34.0000,18.4667
Bellair,Cape Town,-34.0000,18.5000
Oakdene,Cape Town,-34.0000,18.5000
Rylands,Cape Town,-33.9833,18.5167
Scott Estate,Cape Town,-34.0000,18.5167
Olive Grove,Cape Town,-34.0000,18.5167
Ottery,Cape Town,-34.0167,18.5167
Southfield,Cape Town,-34.0167,18.4833
Retreat,Cape Town,-34.0500,18.4833
Steenberg,Cape Town,-34.0667,18.4833
University Estate,Cape Town,-33.9500,18.4833
Rosebank,Cape Town,-33.9583,18.4733
Mowbray,Cape Town,-33.9500,18.4667
Observatory,Cape Town,-33.9383,18.4717
Salt River,Cape Town,-33.9333,18.4667
Walmer Estate,Cape Town,-33.9500,18.4667
Woodstock,Cape Town,-33.9333,18.4500
Zonnebloem,Cape Town,-33.9333,18.4333
Kensington,Cape Town,-33.9333,18.5167
Bridgetown,Cape Town,-33.9500,18.5500
Ruyterwacht,Cape Town,-33.9167,18.5667
Vanguard,Cape Town,-33.9500,18.5500
Elsies River,Cape Town,-33.9167,18.5833
Ravensmead,Cape Town,-33.9167,18.5833
Bosonia,Cape Town,-33.9333,18.6500
Belhar,Cape Town,-33.9333,18.6500
Langa,Cape Town,-33.9500,18.5333
Gugulethu,Cape Town,-33.9833,18.5667
Athlone,Cape Town,-33.9608,18.5042
Crawford,Cape Town,-33.9667,18.5000
Surrey Estate,Cape Town,-33.9667,18.5333
Lansdowne,Cape Town,-33.9833,18.5000
Hanover Park,Cape Town,-33.9833,18.5333
Mandalay,Cape Town,-34.0167,18.6667
Tafelsig,Cape Town,-34.0333,18.6333
Lentegeur,Cape Town,-34.0500,18.6000
Westridge,Cape Town,-34.0333,18.6167
Portlands,Cape Town,-34.0333,18.6000
Mitchells Plain,Cape Town,-34.0333,18.6167
Mitchells Plain Central,Cape Town,-34.0333,18.6333
Ilitha Park,Cape Town,-34.0167,18.6833
Khayelitsha,Cape Town,-34.0333,18.6833
Eerste River,Cape Town,-34.0333,18.7500
Macassar,Cape Town,-34.0833,18.7833
Firgrove,Cape Town,-34.0833,18.7833
Morgenster,Cape Town,-34.0833,18.7667
Sitari,Cape Town,-34.0833,18.7667
Schonenberg Estate,Cape Town,-34.0833,18.7833
Croydon,Cape Town,-34.0167,18.7333
Croydon Vineyard Estate,Cape Town,-34.0167,18.7167
Croydon Olive Estate,Cape Town,-34.0167,18.7167
Bardale Village,Cape Town,-34.0167,18.7333
Heritage Park,Cape Town,-34.0333,18.7167
Eden Park,Cape Town,-34.0333,18.7333
Hagley,Cape Town,-34.0333,18.7333
Chrismar,Cape Town,-34.0333,18.7333
Twin Palms,Cape Town,-34.0167,18.6833
Schaap Kraal,Cape Town,-33.9500,18.6333
Haasendal,Cape Town,-33.9333,18.7167
Soneike,Cape Town,-33.9333,18.7000
Kuilsriver,Cape Town,-33.9333,18.7167
Joostenbergvlakte,Cape Town,-33.8333,18.7333
Eensgevonden,Cape Town,-33.8333,18.7167
Door De Kraal,Cape Town,-33.8167,18.7000
Klipheuwel,Cape Town,-33.7000,18.7333
Brackenfell Central,Cape Town,-33.8833,18.6833
Scottsdene,Cape Town,-33.8833,18.7000
Amandelsig,Cape Town,-33.8833,18.7000
Windsor Park,Cape Town,-33.8833,18.7000
Northpine,Cape Town,-33.8667,18.7000
Fountain Village,Cape Town,-33.8667,18.7000
Peerless Park,Cape Town,-33.8833,18.7167
Cape Farms,Cape Town,-33.8000,18.6833
Klipdam,Cape Town,-33.8167,18.7167
Longkloof,Cape Town,-33.9333,18.4167
Tamboerskloof,Cape Town,-33.9267,18.4133
Higgovale,Cape Town,-33.9333,18.4083
Gardens,Cape Town,-33.9333,18.4167
Oranjezicht,Cape Town,-33.9333,18.4167
Vredehoek,Cape Town,-33.9333,18.4333
Zonnebloem,Cape Town,-33.9333,18.4333
Foreshore,Cape Town,-33.9167,18.4333
Waterfront,Cape Town,-33.9050,18.4183
De Waterkant,Cape Town,-33.9233,18.4183
Bo-Kaap,Cape Town,-33.9233,18.4150
Three Anchor Bay,Cape Town,-33.9133,18.4017
Mouille Point,Cape Town,-33.9033,18.3983
Green Point,Cape Town,-33.9083,18.4000
Sea Point,Cape Town,-33.9200,18.3883
Fresnaye,Cape Town,-33.9167,18.3833
Bantry Bay,Cape Town,-33.9150,18.3814
Clifton,Cape Town,-33.9383,18.3750
Camps Bay,Cape Town,-33.9517,18.3783
Bakoven,Cape Town,-33.9500,18.3667
Llandudno,Cape Town,-34.0000,18.3500
Hout Bay,Cape Town,-34.0483,18.3617
Hout Bay Central,Cape Town,-34.0483,18.3617
Tierboskloof,Cape Town,-34.0167,18.3833
Crofters Valley,Cape Town,-34.0167,18.3833
Kronenzicht,Cape Town,-34.0333,18.3833
Penzance Estate,Cape Town,-34.1167,18.3667
Noordhoek,Cape Town,-34.1000,18.3667
Kommetjie,Cape Town,-34.1333,18.3167
Scarborough,Cape Town,-34.1833,18.3667
Glencairn,Cape Town,-34.1500,18.4333
Glencairn Heights,Cape Town,-34.1500,18.4333
Simon's Town,Cape Town,-34.1833,18.4333
Simons Town,Cape Town,-34.1833,18.4333
Welcome Glen,Cape Town,-34.1167,18.4333
Fish Hoek,Cape Town,-34.1333,18.4333
Clovelly,Cape Town,-34.1167,18.4333
Capri,Cape Town,-34.1167,18.4167
Murdock Valley,Cape Town,-34.1333,18.4167
Klipkop,Cape Town,-34.1333,18.4167
Kalk Bay,Cape Town,-34.1167,18.4500
St James,Cape Town,-34.1000,18.4500
Muizenberg,Cape Town,-34.1000,18.4667
Marina Da Gama,Cape Town,-34.0833,18.4833
Milkwood Park,Cape Town,-34.0833,18.4833
Costa Da Gama,Cape Town,-34.0833,18.4833
Strandfontein,Cape Town,-34.0833,18.5500
Granger Bay,Cape Town,-33.9050,18.4150
Protea Heights,Cape Town,-34.0500,18.6833
Victorskloof,Cape Town,-33.9833,18.7333
Firlands,Cape Town,-33.8833,18.6167
Westgate,Cape Town,-33.9167,18.5833
Kelderhof Country Village,Cape Town,-34.0667,18.7167
Parel Vallei,Cape Town,-34.0833,18.8667
Stellenridge,Cape Town,-33.8500,18.6500
Heldervue,Cape Town,-34.0500,18.8333
Zevenwacht Country Estate,Cape Town,-33.9500,18.7167
Anchorage Park,Cape Town,-34.1333,18.8500
Gaylee,Cape Town,-34.0500,18.5167
Avignon,Cape Town,-33.8167,18.6833
Ruyteplaats,Cape Town,-33.8333,18.6833
Beach Estate,Cape Town,-34.1167,18.8500
Dennemere,Cape Town,-33.8333,18.6667
Buh Rein Estate,Cape Town,-33.8667,18.7000
Rouxville,Cape Town,-33.9333,18.5500
Amanda Glen,Cape Town,-33.8500,18.6500
Silver Oaks,Cape Town,-33.8667,18.6500
Rome Glen,Cape Town,-33.9000,18.6833
Highbury,Cape Town,-33.9167,18.6000
Oostersee,Cape Town,-33.9000,18.6167
Roundhay,Cape Town,-33.9333,18.5500
Sandown,Cape Town,-33.8333,18.4833
Ruyteplaats,Cape Town,-33.8333,18.6833
Glenhaven,Cape Town,-33.8500,18.6500
Woodlands,Cape Town,-33.8667,18.6667
Stonehurst Mountain Estate,Cape Town,-34.0500,18.4500
Sunset Glen,Cape Town,-33.8500,18.6500
Gordon Strand,Cape Town,-34.1500,18.8667
Guldenland,Cape Town,-33.8333,18.6833
Parow North,Cape Town,-33.8833,18.5833
Montclair,Cape Town,-34.0167,18.5000
Baronetcy Estate,Cape Town,-33.8667,18.6833
Erinvale Estate,Cape Town,-34.0833,18.8333
La Rochelle,Cape Town,-33.9333,18.5000
Townsend Estate,Cape Town,-33.9333,18.5333
Bellville Central,Cape Town,-33.9000,18.6333
Mountainside,Cape Town,-33.8833,18.5833
Sir Lowrys And Surrounds,Cape Town,-34.1333,18.9000
Glen Marine,Cape Town,-34.1167,18.8333
Bridgewater,Cape Town,-34.0833,18.8667
Loucharmante,Cape Town,-33.8500,18.6500
Overkloof,Cape Town,-33.8500,18.6500
Springbok Park,Cape Town,-33.9500,18.6500
Uitsig,Cape Town,-33.9500,18.5833
Penlyn Estate,Cape Town,-33.8500,18.6333
Stellenryk,Cape Town,-33.8500,18.6500
The Links,Cape Town,-33.7833,18.4500
Gordons Bay Central,Cape Town,-34.1667,18.8667
Harbour Island,Cape Town,-34.1667,18.8500
Northshore,Cape Town,-34.1500,18.8500
Gordon's Bay Village,Cape Town,-34.1667,18.8667
High Riding Country Estate,Cape Town,-33.8333,18.6833
Ruwari,Cape Town,-34.0500,18.5000
Waves Edge,Cape Town,-34.1667,18.8667
Glencairn,Cape Town,-34.1500,18.4333
Sea Breeze,Cape Town,-34.1333,18.8333
Gustrouw,Cape Town,-33.9000,18.6833
Protea Valley,Cape Town,-33.9833,18.6333
Sunset Links,Cape Town,-33.7833,18.4500
La Concorde,Cape Town,-34.0833,18.8500
Helgarda Estate,Cape Town,-33.8333,18.6833
Labiance Estate,Cape Town,-33.8333,18.6833
Valley Estate,Cape Town,-34.0667,18.7000
Sunridge,Cape Town,-33.8667,18.6500
Bellville South,Cape Town,-33.9167,18.6333
Zonnendal,Cape Town,-33.8333,18.6667
Pinehurst,Cape Town,-33.8500,18.6500
Dennegeur,Cape Town,-33.8500,18.6500
Stellenberg,Cape Town,-33.8667,18.6500
Welgelee,Cape Town,-33.8500,18.6333
Audas Estate,Cape Town,-34.1167,18.8333
Tuscany Glen,Cape Town,-33.8333,18.6833
Van Ryneveld,Cape Town,-34.1000,18.8500
Greenways,Cape Town,-34.0667,18.4667
Mountview,Cape Town,-33.9167,18.5667
Oak Glen,Cape Town,-33.8500,18.6667
Sagewood,Cape Town,-34.0500,18.7000
De Zicht Estate,Cape Town,-33.8500,18.6667
Malibu Village,Cape Town,-34.0333,18.6333
Boston,Cape Town,-33.8833,18.6167
Valmary Park,Cape Town,-33.8500,18.6500
Langeberg Heights,Cape Town,-34.0500,18.8500
Rosendal,Cape Town,-33.8500,18.7000
Loevenstein,Cape Town,-33.8833,18.6167
Bergsig,Cape Town,-34.1167,18.8500
Bel Aire,Cape Town,-33.8500,18.6333
Lochnerhof,Cape Town,-33.8333,18.6667
Natures Valley,Cape Town,-33.8333,18.6833
Eikendal,Cape Town,-34.0167,18.8167
Tara,Cape Town,-33.8500,18.6500
Bokkemanskloof,Cape Town,-34.1333,18.9167
Churchill Estate,Cape Town,-34.0500,18.7000
Langeberg Ridge,Cape Town,-34.0500,18.8333
Jagtershof,Cape Town,-33.8500,18.6667
