Title,Price,Price_value,PriceCurrency,Location,Address,Bedrooms,Bathrooms,Parking Spaces,ErfSize,Link,SourcePage,ScrapeDate,Excerpt,Icons,Featuredetails,Size,Favourite,Left
1 Bedroom Apartment,R 14 500,14500,ZAR,Foreshore,"1 Harbour Arch, 11 Christiaan Barnard Street",1,1,1,35 m²,https://www.property24.com/to-rent/foreshore/cape-town/western-cape/9143/116901505,https://www.property24.com/to-rent/cape-town/western-cape/432?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Enjoy this stunning furnished studio apartment Harbour Arch has to offer, Cape Town’s ...",11135 m²,1,35 m²,,
3 Bedroom Apartment,R 6 500,6500,ZAR,Kenilworth,3 Myrtle Rd,3,2,2,120 m²,https://www.property24.com/to-rent/kenilworth/cape-town/western-cape/8669/110611417,https://www.property24.com/to-rent/cape-town/western-cape/432?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Beautiful, peaceful, spacious,  convenient ( walk to PnPay/Woolies/ Butchery/ ...",322120 m²,2,120 m²,,
0.5 Bedroom Apartment,R 9 500,9500,ZAR,Foreshore,"1004 The Diplomat, 8 Hans Strijdom Ave",0.5,1,,30 m²,https://www.property24.com/to-rent/foreshore/cape-town/western-cape/9143/116681848,https://www.property24.com/to-rent/cape-town/western-cape/432?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Views! Views! Views!

Available immediately

Rent = R9 500pm

Electricity users charge  ...",0.5130 m²,1,30 m²,,
1 Bedroom Apartment,R 22 500,22500,ZAR,Cape Town City Centre,2 Lower Long St,1,1,1,71 m²,https://www.property24.com/to-rent/cape-town-city-centre/cape-town/western-cape/9138/115111074,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Modern Fully Furnished 1-Bedroom Apartment to Rent – Icon, Foreshore

Available from ...",11171 m²,1,71 m²,,
1 Bedroom Apartment,R 9 500,9500,ZAR,Rosebank,1 Nursery Rd,1,,,,https://www.property24.com/to-rent/rosebank/cape-town/western-cape/8683/116860691?plId=2303587&plt=4,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Charming & Central Student Accommodation – Nursery Square

Welcome to Nursery Square, a well-located student accommodation option in the heart of Cape Town. Perfectly positioned just steps away from UCT, Varsity College ...",1,1,,,
3 Bedroom Townhouse,R 25 000,25000,ZAR,Marina Da Gama,9a Oudevlei Marina Da Gama,3,2,1,269 m²,https://www.property24.com/to-rent/marina-da-gama/cape-town/western-cape/10213/116894851,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,This immaculate town house offers excellent accommodation with spectacular views over ...,321269 m²,1,269 m²,,
1 Bedroom Apartment,R 10 000,10000,ZAR,Oranjezicht,"5 Green Oaks, 13 St Quintons",1,1,1,38 m²,https://www.property24.com/to-rent/oranjezicht/cape-town/western-cape/9155/115772643,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Situated in a quiet oak tree lined, one way street in Oranjezicht, you will find the ...",11138 m²,1,38 m²,,
2 Bedroom Apartment,R 18 500,18500,ZAR,Rosebank,23 Bridge St,2,1,1,75 m²,https://www.property24.com/to-rent/rosebank/cape-town/western-cape/8683/112156925,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,Recently renovated modern - Fully Furnished 2 Bed Apartment – Walking Distance to UCT ...,21175 m²,1,75 m²,,
1 Bedroom Apartment,R 16 400,16400,ZAR,Rondebosch,143 Main Road,1,1,,88 m²,https://www.property24.com/to-rent/rondebosch/cape-town/western-cape/8682/114473377,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,Lovely furnished / unfurnished 1-bedroom apartment. Long-term. Stunning views of Table ...,1188 m²,1,88 m²,,
2 Bedroom Apartment,R 27 500,27500,ZAR,Claremont Upper,12 Brooke St,2,2,2,108 m²,https://www.property24.com/to-rent/claremont-upper/cape-town/western-cape/14225/116886209,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Fully furnished two-bedroom, two-bathroom apartment available from 1 March 2026, ideally ...",222108 m²,2,108 m²,,
1.5 Bedroom Apartment,R 18 000,18000,ZAR,Vredehoek,36 Davenport Rd,1.5,1,1,78 m²,https://www.property24.com/to-rent/vredehoek/cape-town/western-cape/9166/112917251,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"SUNNY SPACIOUS APARTMENT FOR RENT IN SMALL ART DECO BLOCK IN VREDEHOEK, Cnr Davenport ...",1.51178 m²,1,78 m²,,
3 Bedroom Apartment,R 8 000,8000,ZAR,Mowbray,2 Selby Rd,3,1,,77 m²,https://www.property24.com/to-rent/mowbray/cape-town/western-cape/8677/116728788,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Premium Postgraduate Living – Available February 2026

A fully furnished apartment in ...",3177 m²,1,77 m²,,
3 Bedroom Apartment,R 23 500,23500,ZAR,Claremont,"502 Clarepark, 14 Brook Street",3,2,1,,https://www.property24.com/to-rent/claremont/cape-town/western-cape/11741/109383676,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Located in the heart of Claremont, this beautiful top floor apartment offers the perfect ...",321,1,,,
2 Bedroom Apartment,R 15 000,15000,ZAR,Kirstenhof,"27 Kirstenhof Meadows, Sea Breeze Road",2,1,1,,https://www.property24.com/to-rent/kirstenhof/cape-town/western-cape/10178/107006585,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,This modern 2-bedroom duplex offers a comfortable and convenient lifestyle for ...,211,1,,,
2 Bedroom Apartment,R 45 000,45000,ZAR,Sea Point,13 Bertram Road,2,2,1,105 m²,https://www.property24.com/to-rent/sea-point/cape-town/western-cape/11021/115598643,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,This stylish and tranquil apartment is available for short term only.  Situated in the ...,221105 m²,1,105 m²,,
1 Bedroom Apartment,R 22 000,22000,ZAR,Cape Town City Centre,4 Adderley Street,1,1,,49 m²,https://www.property24.com/to-rent/cape-town-city-centre/cape-town/western-cape/9138/115663074,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Experience upscale urban living in this luxury one-bedroom apartment, nestled in the ...",1149 m²,1,49 m²,,
1 Bedroom Apartment,R 14 500,14500,ZAR,Foreshore,"1 Harbour Arch, 11 Christiaan Barnard Street",1,1,1,35 m²,https://www.property24.com/to-rent/foreshore/cape-town/western-cape/9143/116885442,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Enjoy the stunning unfurnished studio apartment Harbour Arch has to offer, Cape Town’s ...",11135 m²,1,35 m²,,
3 Bedroom House,R 20 000,20000,ZAR,Marina Da Gama,2 Red Roman Way,3,2.5,2,294 m²,https://www.property24.com/to-rent/marina-da-gama/cape-town/western-cape/10213/116872473,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Location: Short walk to Zandvlei Nature Reserve 

Living: Open-plan kitchen and lounge ...",32.52294 m²,2,294 m²,,
1 Bedroom Apartment,R 15 000,15000,ZAR,Gardens,11 Wembley Rd,1,1,1,43 m²,https://www.property24.com/to-rent/gardens/cape-town/western-cape/9145/116834486,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,Location Location Location! We're ready to welcome you to your new home! Eveything ...,11143 m²,1,43 m²,,
2 Bedroom Apartment,R 80 000,80000,ZAR,Waterfront,5 Dock Rd,2,2,2,170 m²,https://www.property24.com/to-rent/waterfront/cape-town/western-cape/9169/116874941,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Welcome to the most sought-after new address at the Waterfront, the newly completed 5 ...",222170 m²,2,170 m²,,
2 Bedroom Apartment,R 29 950,29950,ZAR,Gardens,173 Buitenkant St,2,1,1,80 m²,https://www.property24.com/to-rent/gardens/cape-town/western-cape/9145/116870666,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Stunning 2-Bedroom Apartment with Iconic Mountain Views

Wake up every day to ...",21180 m²,1,80 m²,,
2 Bedroom Apartment,R 55 000,55000,ZAR,Mouille Point,"Ss THE Vantage, 36 Bay Road",2,2,2,87 m²,https://www.property24.com/to-rent/mouille-point/cape-town/western-cape/11018/116830705,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"This striking two-bedroom, two-bathroom apartment offers a rare blend of modern comfort ...",22287 m²,2,87 m²,,
3 Bedroom Apartment,R 8 000,8000,ZAR,Mowbray,2 Selby Rd,3,1,,77 m²,https://www.property24.com/to-rent/mowbray/cape-town/western-cape/8677/116886322,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Premium Postgraduate Living – Available February 2026

A fully furnished apartment in ...",3177 m²,1,77 m²,,
1 Bedroom House,R 16 000,16000,ZAR,Meadowridge,"8b Huxley Drive, Meadowridge",1,1,3,39 m²,https://www.property24.com/to-rent/meadowridge/cape-town/western-cape/10052/116900526,https://www.property24.com/to-rent/cape-town/western-cape/432/p2?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Section 2 - 8 on Huxley

This  stand alone 1 bedroomed unfurnished  cottage offers ...",11339 m²,3,39 m²,,
1 Bedroom Apartment,R 20 000,20000,ZAR,Foreshore,"1 Harbour Arch, 11 Christiaan Barnard Street",1,1,1,41 m²,https://www.property24.com/to-rent/foreshore/cape-town/western-cape/9143/116899773,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Step into contemporary city living with this stylish apartment, thoughtfully designed ...",11141 m²,1,41 m²,,
2 Bedroom Apartment,R 40 000,40000,ZAR,Cape Town City Centre,17 Loop Street,2,2,1,90 m²,https://www.property24.com/to-rent/cape-town-city-centre/cape-town/western-cape/9138/116888940,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Set within an exclusive, well-managed luxury development, this exceptional two-bedroom ...",22190 m²,1,90 m²,,
1 Bedroom Apartment,R 18 500,18500,ZAR,Cape Town City Centre,"705 North Wharf, 1 Bree Street",1,1,,76 m²,https://www.property24.com/to-rent/cape-town-city-centre/cape-town/western-cape/9138/116871628,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Fantastic Large (76sqm) North-Facing Apartment.

Spacious open-plan living area with ...",1176 m²,1,76 m²,,
1 Bedroom Apartment,R 12 500,12500,ZAR,Kenilworth Upper,270 Main Rd,1,1,1,30 m²,https://www.property24.com/to-rent/kenilworth-upper/cape-town/western-cape/14224/116870665,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"The Space:
Step into this beautifully renovated, north-facing, spacious, 1-bedroom flat ...",11130 m²,1,30 m²,,
2 Bedroom Apartment,R 17 000,17000,ZAR,Zonnebloem,"700 Castle Rock, 160 Darling",2,2,2,65 m²,https://www.property24.com/to-rent/zonnebloem/cape-town/western-cape/10166/116869736,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Unfurnished Modern 2-Bedroom City Apartment – Walk across to CPUT

Available to rent in ...",22265 m²,2,65 m²,,
1 Bedroom Apartment,R 19 000,19000,ZAR,Foreshore,"Harbour Arch, 11 Christiaan Barnard Street",1,1,1,51 m²,https://www.property24.com/to-rent/foreshore/cape-town/western-cape/9143/116872917,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,Enjoy the views that Harbour Arch's stylish/modern 1-bedroom apartment has to offer ...,11151 m²,1,51 m²,,
2 Bedroom Apartment,R 35 000,35000,ZAR,Foreshore,"1 Harbour Arch, 11 Christiaan Barnard Street",2,2,1,86 m²,https://www.property24.com/to-rent/foreshore/cape-town/western-cape/9143/116876986,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Enjoy this stunning 2-bedroom apartment Harbour Arch has to offer, Cape Town’s premier ...",22186 m²,1,86 m²,,
1 Bedroom Apartment,R 18 500,18500,ZAR,Foreshore,"Harbour Arch, 11 Christiaan Barnard Street",1,1,1,51 m²,https://www.property24.com/to-rent/foreshore/cape-town/western-cape/9143/116874603,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,Enjoy the views that Harbour Arch's stylish/modern 1-bedroom apartment has to offer ...,11151 m²,1,51 m²,,
1 Bedroom Apartment,R 19 000,19000,ZAR,Foreshore,"1 Harbour Arch, 11 Christiaan Barnard Street",1,1,1,51 m²,https://www.property24.com/to-rent/foreshore/cape-town/western-cape/9143/116876196,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Enjoy this stunning 1-bedroom apartment Harbour Arch has to offer, Cape Town’s premier ...",11151 m²,1,51 m²,,
2 Bedroom Apartment,R 33 500,33500,ZAR,Constantia Heights,25 Ave Picardie,2,2,1,120 m²,https://www.property24.com/to-rent/constantia-heights/cape-town/western-cape/10112/107493114,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,!!!!!!Perfect secure furnished cottage on secure estate for the proffesional.5 Star 120 ...,221120 m²,1,120 m²,,
2 Bedroom Apartment,R 40 000,40000,ZAR,Cape Town City Centre,17 Loop Street,2,2,1,90 m²,https://www.property24.com/to-rent/cape-town-city-centre/cape-town/western-cape/9138/116808577,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Set within an exclusive, well-managed luxury development, this exceptional two-bedroom ...",22190 m²,1,90 m²,,
0.5 Bedroom Apartment,R 9 000,9000,ZAR,Pinelands,8 Moringa Way,0.5,1,,29 m²,https://www.property24.com/to-rent/pinelands/cape-town/western-cape/8017/114562150,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Lock up and go** Studio Apartment: Rent: R9 000 p/m 
Credit Check and administration ...",0.5129 m²,1,29 m²,,
2 Bedroom Apartment,R 13 500,13500,ZAR,Plumstead,8 Nicholette Street,2,1,,45 m²,https://www.property24.com/to-rent/plumstead/cape-town/western-cape/10094/116879878,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Fully renovated 2-bedroom, 1-bathroom ground-floor apartment with 17sqm private ...",2145 m²,1,45 m²,,
1 Bedroom House,R 11 100,11100,ZAR,Observatory,85a Kipling Street,1,1,,38.5 m²,https://www.property24.com/to-rent/observatory/cape-town/western-cape/10157/106925245,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"38.5m2 flat at border to Observatory, 
back-facing bedroom (wardrobe available on ...",1138.5 m²,1,38.5 m²,,
2 Bedroom Apartment,R 34 000,34000,ZAR,Cape Town City Centre,72 Orange Road,2,2,2,119 m²,https://www.property24.com/to-rent/cape-town-city-centre/cape-town/western-cape/9138/116867173,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Looking for a stylish and comfortable apartment in the heart of Gardens? 

This fully ...",222119 m²,2,119 m²,,
2 Bedroom Apartment,R 19 000,19000,ZAR,Claremont Upper,5 Bath Rd,2,1,1,82 m²,https://www.property24.com/to-rent/claremont-upper/cape-town/western-cape/14225/116863504,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Welcome to this immaculate 2-bedroom penthouse unit, ""Home in the Sky"" — a ...",21182 m²,1,82 m²,,
2 Bedroom Apartment,R 16 500,16500,ZAR,Kenilworth,"Monte Vino, 86 Rosemead Avenue",2,1,1,86 m²,https://www.property24.com/to-rent/kenilworth/cape-town/western-cape/8669/116883393,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,Modern Pet Friendly 2-Bedroom Apartment on Harfield Village/ Kenilworth Border – 86m2 ...,21186 m²,1,86 m²,,
2 Bedroom Apartment,R 75 000,75000,ZAR,Llandudno,11 Apostle Road,2,2,2,160 m²,https://www.property24.com/to-rent/llandudno/cape-town/western-cape/9118/116862489,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,2 Bedroom Apartment with Loft Potential to Rent in Llandudno | Available 3 March – End ...,222160 m²,2,160 m²,,
1 Bedroom Apartment,R 20 000,20000,ZAR,Bakoven,"Ss Totness Place, 15 Totness Avenue",1,1,1,64 m²,https://www.property24.com/to-rent/bakoven/cape-town/western-cape/11012/116873985,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,This stylish and light filled one-bedroom apartment offers comfortable coastal living ...,11164 m²,1,64 m²,,
2 Bedroom Apartment,R 23 500,23500,ZAR,Vredehoek,4 St James St,2,1,1,85 m²,https://www.property24.com/to-rent/vredehoek/cape-town/western-cape/9166/112264502,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Looking for a sunny, spacious home in sought-after Vredehoek? This beautifully renovated ...",21185 m²,1,85 m²,,
1 Bedroom Apartment,R 30 000,30000,ZAR,Sea Point,15 St Johns Road,1,1,1,62 m²,https://www.property24.com/to-rent/sea-point/cape-town/western-cape/11021/116859428,https://www.property24.com/to-rent/cape-town/western-cape/432/p3?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"A well-positioned, fully furnished, second-floor apartment in the sought-after Pepper ...",11162 m²,1,62 m²,,
1 Bedroom Apartment,R 6 000,6000,ZAR,Lotus River,6 Hawk Road,1,1,1,50 m²,https://www.property24.com/to-rent/lotus-river/cape-town/western-cape/10212/116871554,https://www.property24.com/to-rent/cape-town/western-cape/432/p4?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"This well-presented bachelor unit offers stylish, low-maintenance living in a secure and ...",11150 m²,1,50 m²,,
2 Bedroom Apartment,R 15 000,15000,ZAR,Costa Da Gama,1 Saint Davids Street,2,1,1,64 m²,https://www.property24.com/to-rent/costa-da-gama/cape-town/western-cape/13856/116882997,https://www.property24.com/to-rent/cape-town/western-cape/432/p4?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Ready....Set...Go!
Don't miss out on this modern centrally located 2 bedroom ...",21164 m²,1,64 m²,,
2 Bedroom Apartment,R 25 000,25000,ZAR,Sea Point,,2,1,1,83 m²,https://www.property24.com/to-rent/sea-point/cape-town/western-cape/11021/116882885,https://www.property24.com/to-rent/cape-town/western-cape/432/p4?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Conveniently situated between Sea Point and Green Point, this modern 83 sqm, 2 bedroom apartment has been renovated.
It boasts ...",21183 m²,1,83 m²,,
4 Bedroom Apartment,R 48 000,48000,ZAR,Kenilworth,1 Wetton Rd,4,2,1,4 m²,https://www.property24.com/to-rent/kenilworth/cape-town/western-cape/8669/116765506,https://www.property24.com/to-rent/cape-town/western-cape/432/p4?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Apartment for Rent – Kenilworth

Spacious semi-furnished apartment available in ...",4214 m²,1,4 m²,,
2 Bedroom House,R 18 300,18300,ZAR,Woodstock,62 Balfour Street,2,1,1,,https://www.property24.com/to-rent/woodstock/cape-town/western-cape/10164/107038139,https://www.property24.com/to-rent/cape-town/western-cape/432/p4?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"house with typical Victorian features in popular road,
2 bedrooms with BIC, 
lounge ...",211,1,,,
5 Bedroom House,R 35 000,35000,ZAR,Claremont,14 Surrey Street Claremont 7708solving Address...,5,4,2,550 m²,https://www.property24.com/to-rent/claremont/cape-town/western-cape/11741/106985746,https://www.property24.com/to-rent/cape-town/western-cape/432/p4?PropertyCategory=House%2cApartmentOrFlat%2cTownhouse,2026-02-09 12:25:16.234283,"Beautiful, Original Victorian Home, fully renovated with all latest fixtures and ...",542550 m²,2,550 m²,,
